id,value
id_0,5.1749603989847355
id_1,18.306214253527877
id_2,20.491218094180468
id_3,11.52394286980537
id_4,26.61605675230615
id_5,20.531348081761223
id_6,21.906551018797387
id_7,31.736468747068827
id_8,13.391674055111721
id_9,64.45646650291954
id_10,20.26456883615941
id_11,15.358576077361235
id_12,68.58947276926723
id_13,48.4281137474572
id_14,18.702333824193204
id_15,10.188595737466718
id_16,30.740362859820404
id_17,71.13221776355111
id_18,-4.130517391262449
id_19,18.23569401642866
id_20,38.578922275007756
id_21,71.31151972531332
id_22,7.410348162634087
id_23,18.71795533032138
id_24,14.937250260084571
id_25,36.719736694705325
id_26,17.9616970056627
id_27,75.7894628721054
id_28,12.309310248614423
id_29,56.295351739649604
id_30,25.113160865661474
id_31,4.610248674094041
id_32,2.483770554515033
id_33,24.759422261321273
id_34,30.48028046559115
id_35,38.46393074642665
id_36,44.202310609330034
id_37,30.08683601986599
id_38,40.47367501574009
id_39,29.226479902317397
id_40,5.606456054343923
id_41,38.666016078789625
id_42,34.61021343187721
id_43,48.38969750738484
id_44,14.75724766694416
id_45,34.46682011087209
id_46,27.483106874184354
id_47,12.000879378154071
id_48,21.37803615160382
id_49,28.544403091663238
id_50,20.16551381841156
id_51,10.796678149746484
id_52,22.171035755750104
id_53,53.44626310935226
id_54,12.219581121610059
id_55,43.3009684551715
id_56,32.18233510328541
id_57,22.56721751457077
id_58,56.73951416554705
id_59,20.74505294529545
id_60,15.028854557473291
id_61,39.855301590385096
id_62,12.975340680728312
id_63,51.741659592830054
id_64,18.783369632539827
id_65,12.348752842777706
id_66,15.6336236535419
id_67,-0.058871470685005534
id_68,41.508011073075956
id_69,31.54874753065602
id_70,18.604251157547075
id_71,37.4768197248807
id_72,56.52039065762304
id_73,6.5878771935219405
id_74,12.22933973743499
id_75,5.203696404134671
id_76,47.92737510380056
id_77,13.020705685594674
id_78,17.11030169390361
id_79,20.603234531002037
id_80,21.28448156078457
id_81,38.69293529051179
id_82,30.02071667572583
id_83,88.76740666723548
id_84,35.98470023966823
id_85,26.756913553477197
id_86,23.963516843564438
id_87,32.74724282808309
id_88,22.189043755319933
id_89,20.992158853626556
id_90,29.555994316645435
id_91,40.99216886651781
id_92,8.625117809911547
id_93,32.321471808877895
id_94,46.59804436536762
id_95,22.88407082672356
id_96,31.518129728251683
id_97,11.198233479766149
id_98,28.52743664252959
id_99,0.2911506800895882
id_100,17.966961079539715
id_101,27.12416392947017
id_102,11.398232780652851
id_103,16.4264268656735
id_104,23.425261046922174
id_105,40.61608267056836
id_106,25.86412502656036
id_107,5.422736951672377
id_108,10.794921122256135
id_109,72.86213692992123
id_110,48.02283705948138
id_111,15.746808276903003
id_112,24.67041061417798
id_113,12.827793326536689
id_114,10.15805757024053
id_115,27.269223342021
id_116,29.208738577932447
id_117,8.835339619930727
id_118,20.051088137129696
id_119,20.212333743764255
id_120,79.9060092987056
id_121,18.061614288263634
id_122,30.542809341304356
id_123,25.98079237772806
id_124,5.212577268164818
id_125,30.355697305856218
id_126,7.768322888914639
id_127,15.32826825539334
id_128,22.666365717697957
id_129,62.74205421109009
id_130,18.95078036798801
id_131,19.07635563083855
id_132,61.37157409163707
id_133,15.88456205262969
id_134,13.409418077705546
id_135,0.8487724836112847
id_136,7.834996717304158
id_137,57.01282901179681
id_138,25.607996751813836
id_139,4.96170472924209
id_140,36.41487903906273
id_141,28.79000672197592
id_142,49.19412096197633
id_143,40.306869855734476
id_144,13.316180593982704
id_145,27.66101187522916
id_146,17.15802752436673
id_147,49.68726256929681
id_148,23.030272291604795
id_149,39.24093652484275
id_150,13.19675388941253
id_151,5.948893701039447
id_152,25.821608976304233
id_153,8.258634214291643
id_154,19.146320517225575
id_155,43.182486526516755
id_156,6.717843578093007
id_157,33.86961524681067
id_158,15.369937846981873
id_159,16.939044973551905
id_160,37.88533679463488
id_161,19.20248454105444
id_162,9.059504715654725
id_163,10.283399610648505
id_164,48.67244712569828
id_165,30.587716213230784
id_166,2.4774098975321586
id_167,12.811603937805952
id_168,70.32478980976461
id_169,14.840967694066993
id_170,68.86558756678859
id_171,42.74199244486634
id_172,24.00026154292017
id_173,23.420724860321428
id_174,61.672124435682356
id_175,25.494202845059224
id_176,19.004809786869068
id_177,34.88668288189684
id_178,9.402313398379732
id_179,29.520011314408023
id_180,14.573965885700499
id_181,9.125563143203594
id_182,52.812583998131885
id_183,45.03953799438961
id_184,17.45243467918329
id_185,38.49393527971431
id_186,27.038919092643837
id_187,65.58170967424583
id_188,7.037306380769596
id_189,52.714477134115704
id_190,38.20645933704975
id_191,21.16980105955787
id_192,30.24755687948839
id_193,2.714422989716316
